Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,222.3,222.64,219.34,221.19,217.81,22885400
2018-10-18,217.86,219.74,213.0,216.02,212.72,32581300
2018-10-19,218.06,221.26,217.43,219.31,215.96,33078700
2018-10-22,219.79,223.36,218.94,220.65,217.28,28792100
2018-10-23,215.83,223.25,214.7,222.73,219.33,38767800
2018-10-24,222.6,224.23,214.54,215.09,211.8,40925500
2018-10-25,217.71,221.38,216.75,219.8,216.44,29855800
2018-10-26,215.9,220.19,212.67,216.3,212.99,47258400
2018-10-29,219.19,219.69,206.09,212.24,209.0,45935500
2018-10-30,211.15,215.18,209.27,213.3,210.04,36660000
2018-10-31,216.88,220.45,216.62,218.86,215.52,38358900
2018-11-01,219.05,222.36,216.81,222.22,218.82,58323200
2018-11-02,209.55,213.65,205.43,207.48,204.31,91328700
2018-11-05,204.3,204.39,198.17,201.59,198.51,66163700
2018-11-06,201.92,204.72,201.69,203.77,200.66,31882900
2018-11-07,205.97,210.06,204.13,209.95,206.74,33424400
2018-11-08,209.98,210.12,206.75,208.49,206.02,25362600
2018-11-09,205.55,206.01,202.25,204.47,202.05,34365800
2018-11-12,199.0,199.85,193.79,194.17,191.87,51135500
2018-11-13,191.63,197.18,191.45,192.23,189.95,46882900
2018-11-14,193.9,194.48,185.93,186.8,184.59,60801000
2018-11-15,188.39,191.97,186.9,191.41,189.14,46478800
2018-11-16,190.5,194.97,189.46,193.53,191.24,36928300
2018-11-19,190.0,190.7,184.99,185.86,183.66,41925300
2018-11-20,178.37,181.47,175.51,176.98,174.88,67825200
2018-11-21,179.73,180.27,176.55,176.78,174.69,31124200
2018-11-23,174.94,176.6,172.1,172.29,170.25,23624000
2018-11-26,174.24,174.95,170.26,174.62,172.55,44998500
2018-11-27,171.51,174.77,170.88,174.24,172.18,41387400
2018-11-28,176.73,181.29,174.93,180.94,178.8,46062500
2018-11-29,182.66,182.8,177.7,179.55,177.42,41770000
2018-11-30,180.29,180.33,177.03,178.58,176.46,39531500
2018-12-03,184.46,184.94,181.21,184.82,182.63,40802500
2018-12-04,180.95,182.39,176.27,176.69,174.6,41344300
2018-12-06,171.76,174.78,170.42,174.72,172.65,43098400
2018-12-07,173.49,174.49,168.3,168.49,166.49,42281600
2018-12-10,165.0,170.09,163.33,169.6,167.59,62026000
2018-12-11,171.66,171.79,167.0,168.63,166.63,47281700
2018-12-12,170.4,171.92,169.02,169.1,167.1,35627700
2018-12-13,170.49,172.57,169.55,170.95,168.93,31898600
2018-12-14,169.0,169.08,165.28,165.48,163.52,40703700
2018-12-17,165.45,168.35,162.73,163.94,162.0,44287900
2018-12-18,165.38,167.53,164.39,166.07,164.1,33841500
2018-12-19,166.0,167.45,159.09,160.89,158.98,49047300
2018-12-20,160.4,162.11,155.3,156.83,154.97,64773000
2018-12-21,156.86,158.16,149.63,150.73,148.94,95744600
2018-12-24,148.15,151.55,146.59,146.83,145.09,37169200
2018-12-26,148.3,157.23,146.72,157.17,155.31,58582500
2018-12-27,155.84,156.77,150.07,156.15,154.3,53117100
2018-12-28,157.5,158.52,154.55,156.23,154.38,42291400
2018-12-31,158.53,159.36,156.48,157.74,155.87,35003500
2019-01-02,154.89,158.85,154.23,157.92,156.05,37039700
2019-01-03,143.98,145.72,142.0,142.19,140.51,91312200
2019-01-04,144.53,148.55,143.8,148.26,146.5,58607100
2019-01-07,148.7,148.83,145.9,147.93,146.18,54777800
2019-01-08,149.56,151.82,148.52,150.75,148.96,41025300
2019-01-09,151.29,154.53,149.63,153.31,151.49,45099100
2019-01-10,152.5,153.97,150.86,153.8,151.98,35780700
2019-01-11,152.88,153.7,151.51,152.29,150.49,27023200
2019-01-14,150.85,151.27,149.22,150.0,148.22,32439200
2019-01-15,150.27,153.39,150.05,153.07,151.26,28710900
2019-01-16,153.08,155.88,153.0,154.94,153.1,30569700
2019-01-17,154.2,157.66,153.26,155.86,154.01,29821200
2019-01-18,157.5,157.88,155.98,156.82,154.96,33751000
2019-01-22,156.41,156.73,152.62,153.3,151.48,30394000
2019-01-23,154.15,155.14,151.7,153.92,152.1,23130600
2019-01-24,154.11,154.48,151.74,152.7,150.89,25441500
2019-01-25,155.48,158.13,154.32,157.76,155.89,33535500
2019-01-28,155.79,156.33,153.66,156.3,154.45,26192100
2019-01-29,156.25,158.13,154.11,154.68,152.85,41587200
2019-01-30,163.25,166.15,160.23,165.25,163.29,61109800
2019-01-31,166.11,169.0,164.56,166.44,164.47,40739600
2019-02-01,166.96,168.98,165.93,166.52,164.55,32668100
2019-02-04,167.41,171.66,167.28,171.25,169.22,31495500
2019-02-05,172.86,175.08,172.35,174.18,172.12,36101600
2019-02-06,174.65,175.57,172.85,174.24,172.18,28239600
2019-02-07,172.4,173.94,170.34,170.94,168.92,31741700
2019-02-08,168.99,170.66,168.42,170.41,169.11,23820000
2019-02-11,171.05,171.21,169.25,169.43,168.14,20993400
2019-02-12,170.1,171.0,169.7,170.89,169.59,22283500
2019-02-13,171.39,172.48,169.92,170.18,168.89,22490200
2019-02-14,169.71,171.26,169.38,170.8,169.5,21835700
2019-02-15,171.25,171.7,169.75,170.42,169.12,24626800
2019-02-19,169.71,171.44,169.49,170.93,169.63,18972800
2019-02-20,171.19,173.32,170.99,172.03,170.72,26114400
2019-02-21,171.8,172.37,170.3,171.06,169.76,17249700
2019-02-22,171.58,173.0,171.38,172.97,171.65,18913200
2019-02-25,174.16,175.87,173.95,174.23,172.9,21873400
2019-02-26,173.71,175.3,173.17,174.33,173.0,17070200
2019-02-27,173.21,175.0,172.73,174.87,173.54,27835400
2019-02-28,174.32,174.91,172.92,173.15,171.83,28215400
2019-03-01,174.28,175.15,172.89,174.97,173.64,25886200
2019-03-04,175.69,177.75,173.97,175.85,174.51,27436200
2019-03-05,175.94,176.0,174.54,175.53,174.19,19737400
2019-03-06,174.67,175.49,173.94,174.52,173.19,20810400
2019-03-07,173.87,174.44,172.02,172.5,171.19,24796400
2019-03-08,170.32,173.07,169.5,172.91,171.59,23999400
2019-03-11,175.49,179.12,175.35,178.9,177.54,32011000
2019-03-12,180.0,182.67,179.37,180.91,179.53,32467600
2019-03-13,182.25,183.3,180.92,181.71,180.33,31032500
2019-03-14,183.9,184.1,182.56,183.73,182.33,23579500
2019-03-15,184.85,187.33,183.74,186.12,184.7,39042900
2019-03-18,185.8,188.39,185.79,188.02,186.59,26219800
2019-03-19,188.35,188.99,185.92,186.53,185.11,31646400
2019-03-20,186.23,189.49,184.73,188.16,186.73,31035200
2019-03-21,190.02,196.33,189.81,195.09,193.61,51034200
2019-03-22,195.34,197.69,190.78,191.05,189.6,42407700
2019-03-25,191.51,191.98,186.6,188.74,187.3,43845300
2019-03-26,191.66,192.88,184.58,186.79,185.37,49800500
2019-03-27,188.75,189.76,186.55,188.47,187.04,29848400
2019-03-28,188.95,189.56,187.53,188.72,187.28,20780400
2019-03-29,189.83,190.08,188.54,189.95,188.51,23564000
2019-04-01,191.64,191.68,188.38,191.24,189.79,27862000
2019-04-02,191.09,194.46,191.05,194.02,192.54,22765700
2019-04-03,193.25,196.5,193.15,195.35,193.86,23271800
2019-04-04,194.79,196.37,193.14,195.69,194.2,19114300
2019-04-05,196.45,197.1,195.93,197.0,195.5,18526600
2019-04-08,196.42,200.23,196.34,200.1,198.58,25881700
2019-04-09,200.32,202.85,199.23,199.5,197.98,35768200
2019-04-10,198.68,200.74,198.18,200.62,199.09,21695300
2019-04-11,200.85,201.0,198.44,198.95,197.44,20900800
2019-04-12,199.2,200.14,196.21,198.87,197.36,27760700
2019-04-15,198.58,199.85,198.01,199.23,197.71,17536600
2019-04-16,199.46,201.37,198.56,199.25,197.73,25696400
2019-04-17,199.54,203.38,198.61,203.13,201.58,28906800
2019-04-18,203.12,204.15,202.52,203.86,202.31,24195800
2019-04-22,202.83,204.94,202.34,204.53,202.97,19439500
2019-04-23,204.43,207.75,203.9,207.48,205.9,23323000
